ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
3393,PisaPDM8405a,PisaPDM8405,,fragmentary,Amphora-Keay25,Y,base,1,,,,,,,,Pottery/ceramic,,,300-350; 350-400,,0,FALSE,,
2622,PisaPDM7016h,PisaPDM7016,,fragmentary,Amphora-Keay25/Spatheion,Y,base,1,,,,,,,,Pottery/ceramic,,,300-350; 350-400; 400-450; 450-500,,0,FALSE,,
2851,PisaPDM7065c,PisaPDM7065,,fragmentary,Amphora-Keay25/Spatheion,Y,base,1,,,,,,,,Pottery/ceramic,,,300-350; 350-400; 400-450; 450-500,,0,FALSE,,
3489,PisaPDM8439c,PisaPDM8439,,fragmentary,Amphora-Keay25/Spatheion,Y,rim,1,,,,,,,,Pottery/ceramic,,,300-350; 350-400; 400-450; 450-500,,0,FALSE,,
2623,PisaPDM7016i,PisaPDM7016,,fragmentary,Amphora-Keay35,Y,rim,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
3311,PisaPDM8400c,PisaPDM8400,,fragmentary,Amphora-Keay55,Y,rim,1,,,,,,,,Pottery/ceramic,,,450-500; 500-550,,0,FALSE,,
2582,PisaPDM7012g,PisaPDM7012,,fragmentary,Amphora-Keay62A,Y,rim,1,,,,,,,,Pottery/ceramic,,,450-500; 500-550,,0,FALSE,,
2624,PisaPDM7016i,PisaPDM7016,,fragmentary,Amphora-Keay62A,Y,rim,1,,,,,,,,Pottery/ceramic,,,450-500; 500-550,,0,FALSE,,
3312,PisaPDM8400d,PisaPDM8400,,fragmentary,Amphora-Keay62G,Y,rim,1,,,,,,,,Pottery/ceramic,,,500-550; 550-600,,0,FALSE,,
3490,PisaPDM8439d,PisaPDM8439,,fragmentary,Amphora-Keay62G,Y,rim,1,,,,,,,,Pottery/ceramic,,,500-550; 550-600,,0,FALSE,,
2625,PisaPDM7016j,PisaPDM7016,,fragmentary,Amphora-Keay62Q,Y,rim,1,,,,,,,,Pottery/ceramic,,,450-500; 500-550,,0,FALSE,,
2762,PisaPDM7037b,PisaPDM7037,,fragmentary,Amphora-LR1,Y,wall,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
2866,PisaPDM7067b,PisaPDM7067,,fragmentary,Amphora-LR1,Y,handle,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
3004,PisaPDM7095b,PisaPDM7095,,fragmentary,Amphora-LR1,Y,handle,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
3022,PisaPDM7096c,PisaPDM7096,,fragmentary,Amphora-LR1,Y,wall,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
3113,PisaPDM8224d,PisaPDM8224,,fragmentary,Amphora-LR1,Y,wall,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
2626,PisaPDM7016k,PisaPDM7016,,fragmentary,Amphora-LR1A,Y,rim,1,,,,,,,,Pottery/ceramic,,,350-400; 400-450; 450-500; 500-550,,0,FALSE,,
2745,PisaPDM7034b,PisaPDM7034,,fragmentary,Amphora-LR2,Y,wall,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500; 500-550; 550-600; 600-650; 650-700,,0,FALSE,,
2627,PisaPDM7016l,PisaPDM7016,,fragmentary,Amphora-LR3,Y,1 rim; 1 neck & handles,2,,,,,,,,Pottery/ceramic,,,400-450; 450-500; 500-550; 550-600; 600-650; 650-700,,0,FALSE,,
