source,target,type,weight,groups
51,01,undirected,2,15LandOfBlackGold|19RedSeaSharks|
51,08,undirected,2,15LandOfBlackGold|19RedSeaSharks|
51,57,undirected,2,15LandOfBlackGold|19RedSeaSharks|
51,27,undirected,2,15LandOfBlackGold|19RedSeaSharks|
51,11,undirected,2,15LandOfBlackGold|19RedSeaSharks|
51,56,undirected,2,15LandOfBlackGold|19RedSeaSharks|
01,08,undirected,2,15LandOfBlackGold|19RedSeaSharks|
01,57,undirected,2,15LandOfBlackGold|19RedSeaSharks|
01,27,undirected,2,15LandOfBlackGold|19RedSeaSharks|
01,11,undirected,2,15LandOfBlackGold|19RedSeaSharks|
01,56,undirected,2,15LandOfBlackGold|19RedSeaSharks|
08,57,undirected,2,15LandOfBlackGold|19RedSeaSharks|
08,27,undirected,2,15LandOfBlackGold|19RedSeaSharks|
08,11,undirected,2,15LandOfBlackGold|19RedSeaSharks|
08,56,undirected,2,15LandOfBlackGold|19RedSeaSharks|
57,27,undirected,2,15LandOfBlackGold|19RedSeaSharks|
57,11,undirected,2,15LandOfBlackGold|19RedSeaSharks|
57,56,undirected,2,15LandOfBlackGold|19RedSeaSharks|
27,11,undirected,2,15LandOfBlackGold|19RedSeaSharks|
27,56,undirected,2,15LandOfBlackGold|19RedSeaSharks|
89,52,undirected,2,16DestinationMoon|17ExplorersOnMoon|
89,30,undirected,2,16DestinationMoon|17ExplorersOnMoon|
89,49,undirected,2,16DestinationMoon|17ExplorersOnMoon|
